"1,978-1-891830-75-4",Invalid
"2,978-1-60309-050-6",Invalid
"3,978-1-891830-71-6",Invalid
"4,978-1-60309-025-4",Invalid
"5,978-1-60309-047-6",Invalid
"6,978-1-60309-322-4",Invalid
"7,978-1-891830-85-3",Invalid
"8,978-1-60309-016-2",Invalid
"9,978-1-60309-265-4",Invalid
"10,978-1-60309-2395",Invalid
"11,978-1-60309-077-3",Invalid
"12,978-1-60309-369-9",Invalid
"13,978-1-60309-069-8",Invalid
"14,978-1-60309-042-",Invalid
"15,978-1-60309-026-1",Invalid
"16,978-1-60309-380-4",Invalid
"17,978-1-60309-027-8",Invalid
"18,978-1-60309-405-4",Invalid
"19,978-1-891830-37-2",Invalid
"20,978-1-60309-029-2",Invalid
"21,978-1-891830-40-2",Invalid
"22,978-1-891830-56-3",Invalid
"23,978-1-60309-273-9",Invalid
"24,978-1-60309-432-0",Invalid
"25,978-1-60309-063-6",Invalid
"26,978-1-60309-420-7",Invalid
"27,978-1-891830-19-8",Invalid
"28,978-0-9858751-3-8",Invalid
"29,9780470059029",Invalid
"30,4780470059029",Invalid
"31,978 0 471 48648 0",Invalid
"32,978-0596809485",Invalid
"33,978-0-13-149505-0",Invalid
"34,978-0-262-13472-9",Invalid
"35,7987022-78962-ds-22",Invalid
"36,0471958697",Invalid
"37,0 471 60695 2",Invalid
"38,0-470-84525-2",Invalid
"39,0-321-14653-0",Invalid
"40,0000000",Invalid
"41,2343673",Invalid
"42,877195869x",Invalid
"43,877195x869",Invalid
"44,877195869xx",Invalid
"45,877195@869x",Invalid
